Date,Date,Energy,diff,Energy_log,Energy_log_diff
1941-05-01,1941-05-01,4.3658,0.025800000000000267,1.473801448558125,0.1192557857528147
1941-06-01,1941-06-01,4.4433,0.07749999999999968,1.4913973436188994,0.12359796513525323
1941-07-01,1941-07-01,4.495,0.0517000000000003,1.5029656679235837,0.13516628943993747
1941-08-01,1941-08-01,4.5467,0.0517000000000003,1.5144016950986312,0.1335471027291053
1941-09-01,1941-09-01,4.5725,0.02579999999999938,1.5200601012828836,0.12629372532429195
1941-10-01,1941-10-01,4.5983,0.025800000000000267,1.5256866699716036,0.12553871456317744
1941-11-01,1941-11-01,4.65,0.0517000000000003,1.536867219599265,0.11154447151189606
1941-12-01,1941-12-01,4.7533,0.10329999999999995,1.5588391136707307,0.13351636558336177
1942-01-01,1942-01-01,4.805,0.05169999999999941,1.5696570424222558,0.13815033848081715
1942-02-01,1942-02-01,4.8567,0.0517000000000003,1.5803591949334328,0.13657453061051728
1942-03-01,1942-03-01,4.8825,0.025800000000000267,1.585657383768697,0.12976699976090367
1942-04-01,1942-04-01,4.8825,0.0,1.585657383768697,0.11778303565638337
1942-05-01,1942-05-01,4.8825,0.0,1.585657383768697,0.11185593521057191
1942-06-01,1942-06-01,4.9084,0.025900000000000034,1.5909480231202557,0.09955067950135632
1942-07-01,1942-07-01,5.0634,0.15499999999999936,1.6220381944098388,0.1190725264862551
1942-08-01,1942-08-01,5.0892,0.025800000000000267,1.6271206472864084,0.11271895218777717
1942-09-01,1942-09-01,5.115,0.025800000000000267,1.6321773994035897,0.11211729812070614
1942-10-01,1942-10-01,5.115,0.0,1.6321773994035897,0.10649072943198612
1942-11-01,1942-11-01,5.1925,0.07749999999999968,1.6472152767681303,0.11034805716886531
1942-12-01,1942-12-01,5.27,0.07749999999999968,1.6620303625532709,0.10319124888254017
1943-01-01,1943-01-01,5.2184,-0.051599999999999646,1.6521908414997493,0.08253379907749347
1943-02-01,1943-02-01,5.2959,0.07749999999999968,1.66693293628121,0.08657374134777718
1943-03-01,1943-03-01,5.3217,0.025800000000000267,1.6717928011808665,0.08613541741216957
1943-04-01,1943-04-01,5.3992,0.07750000000000057,1.6862507944470597,0.1005934106783628
1943-05-01,1943-05-01,5.425,0.02579999999999938,1.6910178994265233,0.10536051565782634
1943-06-01,1943-06-01,5.5284,0.1034000000000006,1.7098984427477346,0.11895041962747888
1943-07-01,1943-07-01,5.58,0.051599999999999646,1.7191887763932197,0.09715058198338089
1943-08-01,1943-08-01,5.6059,0.025900000000000034,1.7238196145528155,0.09669896726640714
1943-09-01,1943-09-01,5.7092,0.10329999999999995,1.7420789087734763,0.10990150936988652
1943-10-01,1943-10-01,5.7092,0.0,1.7420789087734763,0.10990150936988652
1943-11-01,1943-11-01,5.7867,0.07749999999999968,1.755562180916167,0.10834690414803672
